up_events,ip,down_events,key
"1474080193117,1474080193271,1474080193456,1474080193623,1474080193906,1474080194223,1474080194375,1474080194593",173.63.184.135,"1474080193010,1474080193180,1474080193396,1474080193565,1474080193826,1474080194140,1474080194317,1474080194531",5035719768670208
"1474058115528,1474058115674,1474058115856,1474058115992,1474058116208,1474058116360,1474058116511,1474058116712",24.159.209.250,"1474058115432,1474058115568,1474058115773,1474058115896,1474058116088,1474058116259,1474058116408,1474058116624",5065328199467008
"1474057234473,1474057234706,1474057234874,1474057235097,1474057235330,1474057235482,1474057235585,1474057235826",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057234346,1474057234546,1474057234778,1474057234978,1474057235193,1474057235337,1474057235466,1474057235698",5102171502673920
"1474082768222,1474082768506,1474082768690,1474082768886,1474082769224,1474082769420,1474082769636,1474082771970",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082768054,1474082768339,1474082768592,1474082768745,1474082769076,1474082769242,1474082769480,1474082771775",5207287069147136
"1474035617695,1474035617871,1474035618047,1474035618207,1474035618439,1474035618767,1474035618911,1474035619143",69.15.253.50,"1474035617551,1474035617703,1474035617943,1474035618119,1474035618303,1474035618639,1474035618775,1474035618991",5212260104404992
"1474082777782,1474082777962,1474082778137,1474082778408,1474082778735,1474082778895,1474082779104,1474082779359",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082777634,1474082777794,1474082778025,1474082778173,1474082778557,1474082778742,1474082778957,1474082779198",5217233139662848
"1474015691396,1474015691532,1474015691797,1474015691932,1474015692172,1474015692357,1474015692420,1474015692628",115.99.248.170,"1474015691277,1474015691444,1474015691692,1474015691852,1474015692052,1474015692236,1474015692316,1474015692524",5222194095325184
"1474035653591,1474035654287,1474035654631,1474035654847,1474035655143,1474035655351,1474035655502,1474035655767",69.15.253.50,"1474035653448,1474035654119,1474035654519,1474035654743,1474035654999,1474035655223,1474035655407,1474035655607",5226837760278528
"1474058110824,1474058110975,1474058111143,1474058111280,1474058111480,1474058111592,1474058111720,1474058111912",24.159.209.250,"1474058110744,1474058110890,1474058111055,1474058111184,1474058111374,1474058111496,1474058111624,1474058111819",5227179210178560
"1474037023326,1474037023554,1474037023743,1474037023927,1474037024223,1474037024423,1474037024655,1474037024899",103.252.25.153,"1474037023226,1474037023389,1474037023648,1474037023843,1474037024068,1474037024269,1474037024501,1474037024671",5237101121503232
"1474067050057,1474067050314,1474067050571,1474067050764,1474067050976,1474067051323,1474067051540,1474067051759",65.24.240.144,"1474067049986,1474067050204,1474067050465,1474067050657,1474067050869,1474067051215,1474067051433,1474067051650",5242036307361792
"1474082818806,1474082818918,1474082819078,1474082819222,1474082819390,1474082819478,1474082819574,1474082819750",99.9.191.4,"1474082818742,1474082818854,1474082819031,1474082819158,1474082819318,1474082819422,1474082819510,1474082819684",5250536852946944
"1474058105584,1474058105743,1474058106069,1474058106070,1474058106232,1474058106344,1474058106488,1474058106672",24.159.209.250,"1474058105494,1474058105643,1474058106068,1474058106069,1474058106127,1474058106248,1474058106400,1474058106584",5253860620763136
"1474037027440,1474037027588,1474037027791,1474037027974,1474037029103,1474037029421,1474037029670,1474037029901",103.252.25.153,"1474037027325,1474037027455,1474037027671,1474037027875,1474037028957,1474037029275,1474037029521,1474037029701",5260405077180416
"1474082791476,1474082791628,1474082791812,1474082791939,1474082792123,1474082792211,1474082792316,1474082792515",99.9.191.4,"1474082791404,1474082791564,1474082791756,1474082791884,1474082792051,1474082792139,1474082792260,1474082792443",5270249679093760
"1474037019081,1474037019308,1474037019494,1474037019662,1474037020007,1474037020176,1474037020393,1474037020620",103.252.25.153,"1474037018937,1474037019154,1474037019405,1474037019595,1474037019859,1474037020069,1474037020274,1474037020408",5283028548976640
"1474035624375,1474035624551,1474035624719,1474035624895,1474035625111,1474035625255,1474035625406,1474035625623",69.15.253.50,"1474035624232,1474035624383,1474035624623,1474035624791,1474035624983,1474035625143,1474035625271,1474035625487",5285489833672704
"1474032466148,1474032466221,1474032466252,1474032466437,1474032466749,1474032466781,1474032466789,1474032466973",173.2.225.234,"1474032465933,1474032466029,1474032466133,1474032466317,1474032466517,1474032466613,1474032466685,1474032466869",5291950538227712
"1474036937528,1474036937932,1474036938198,1474036938427,1474036938791,1474036939026,1474036939209,1474036939425",103.252.25.153,"1474036937383,1474036937762,1474036938104,1474036938307,1474036938630,1474036938885,1474036939057,1474036939272",5293786636746752
"1474082794111,1474082794332,1474082794554,1474082794771,1474082795289,1474082795673,1474082795815,1474082796116",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082793951,1474082794171,1474082794448,1474082794617,1474082795129,1474082795507,1474082795666,1474082795942",5297934769848320
"1474036969107,1474036969398,1474036969603,1474036969789,1474036970133,1474036970292,1474036970341,1474036970490",103.252.25.153,"1474036968976,1474036969207,1474036969498,1474036969666,1474036969963,1474036970211,1474036970273,1474036970419",5300434172379136
"1474037032739,1474037032952,1474037033338,1474037033524,1474037033805,1474037033987,1474037034332,1474037034565",103.252.25.153,"1474037032633,1474037032786,1474037033202,1474037033416,1474037033680,1474037033852,1474037034128,1474037034348",5301948148350976
"1474048894686,1474048894798,1474048894927,1474048895102,1474048895446,1474048895446,1474048895614,1474048895910",162.198.166.54,"1474048894550,1474048894654,1474048894830,1474048894998,1474048895214,1474048895302,1474048895446,1474048895750",5310356083703808
"1474037025378,1474037025540,1474037025759,1474037025930,1474037026322,1474037026540,1474037026756,1474037026967",103.252.25.153,"1474037025324,1474037025409,1474037025665,1474037025878,1474037026174,1474037026400,1474037026618,1474037026756",5317194745380864
"1474042948892,1474042949028,1474042949100,1474042949292,1474042949636,1474042949748,1474042949860,1474042950084",64.245.199.146,"1474042948772,1474042948893,1474042948996,1474042949212,1474042949532,1474042949676,1474042949780,1474042949996",5346803176177664
"1474032305624,1474032305871,1474032306078,1474032306237,1474032306415,1474032306588,1474032306776,1474032307004",73.81.159.210,"1474032305553,1474032305796,1474032306001,1474032306172,1474032306346,1474032306525,1474032306698,1474032306937",5348024557502464
"1474036996380,1474036996595,1474036996799,1474036996936,1474036997441,1474036997697,1474036998713,1474036998960",103.252.25.153,"1474036996263,1474036996443,1474036996720,1474036996899,1474036997295,1474036997584,1474036998586,1474036998791",5350511075131392
"1474082812464,1474082812600,1474082812768,1474082812911,1474082813087,1474082813183,1474082813287,1474082813447",99.9.191.4,"1474082812384,1474082812528,1474082812720,1474082812848,1474082813015,1474082813127,1474082813231,1474082813383",5354843354955776
"1474048922446,1474048922710,1474048922854,1474048923030,1474048923278,1474048923390,1474048923494,1474048923974",162.198.166.54,"1474048922351,1474048922551,1474048922758,1474048922926,1474048923134,1474048923255,1474048923390,1474048923838",5357970628018176
"1474047657666,1474047657833,1474047658017,1474047658186,1474047658411,1474047658493,1474047658586,1474047658787",173.19.149.111,"1474047657564,1474047657670,1474047657869,1474047658068,1474047658278,1474047658371,1474047658471,1474047658670",5361079110598656
"1474015685108,1474015685300,1474015685548,1474015685684,1474015686076,1474015686332,1474015687068,1474015687284",115.99.248.170,"1474015685004,1474015685196,1474015685445,1474015685628,1474015685996,1474015686228,1474015686964,1474015687180",5367575248633856
"1474015664581,1474015664708,1474015664919,1474015665046,1474015665253,1474015665496,1474015665573,1474015665789",115.99.248.170,"1474015664437,1474015664629,1474015664821,1474015664989,1474015665173,1474015665373,1474015665477,1474015665685",5367916698533888
"1474029820561,1474029820730,1474029820929,1474029821105,1474029821313,1474029821426,1474029821538,1474029821865",199.90.35.12,"1474029820482,1474029820649,1474029820857,1474029821017,1474029821225,1474029821337,1474029821465,1474029821793",5372838999490560
"1474015651629,1474015651878,1474015652125,1474015652294,1474015652500,1474015652669,1474015652773,1474015652981",115.99.248.170,"1474015651550,1474015651773,1474015652029,1474015652189,1474015652397,1474015652572,1474015652693,1474015652878",5377838609858560
"1474003260040,1474003260136,1474003260262,1474003260423,1474003260600,1474003260643,1474003260821,1474003261056",103.210.204.3,"1474003259948,1474003260025,1474003260196,1474003260336,1474003260481,1474003260572,1474003260703,1474003260968",5382773795717120
"1474067040835,1474067041067,1474067041286,1474067041503,1474067041730,1474067041950,1474067042145,1474067042357",65.24.240.144,"1474067040763,1474067040923,1474067041216,1474067041398,1474067041625,1474067041845,1474067042037,1474067042252",5387125939765248
"1474037030454,1474037030620,1474037030840,1474037031023,1474037031387,1474037031607,1474037031961,1474037032233",103.252.25.153,"1474037030305,1474037030470,1474037030729,1474037030918,1474037031242,1474037031497,1474037031779,1474037032039",5394598109118464
"1474035611766,1474035611982,1474035612222,1474035612407,1474035612663,1474035612830,1474035613015,1474035613262",69.15.253.50,"1474035611647,1474035611814,1474035612086,1474035612302,1474035612526,1474035612703,1474035612871,1474035613111",5410987167449088
"1474029782106,1474029782218,1474029782418,1474029782618,1474029782826,1474029782946,1474029783058,1474029783610",199.90.35.12,"1474029782010,1474029782162,1474029782362,1474029782514,1474029782722,1474029782826,1474029782962,1474029783506",5423766037331968
"1474003250399,1474003250495,1474003250631,1474003250802,1474003251001,1474003251055,1474003251165,1474003251389",103.210.204.3,"1474003250298,1474003250377,1474003250570,1474003250704,1474003250888,1474003250980,1474003251095,1474003251284",5434524125102080
"1474036946345,1474036946607,1474036946794,1474036946947,1474036947217,1474036947444,1474036947633,1474036947844",103.252.25.153,"1474036946248,1474036946454,1474036946700,1474036946860,1474036947069,1474036947349,1474036947488,1474036947649",5438672258203648
"1474003253000,1474003253131,1474003253249,1474003253421,1474003253625,1474003253665,1474003253782,1474003254021",103.210.204.3,"1474003252917,1474003253013,1474003253196,1474003253312,1474003253507,1474003253598,1474003253698,1474003253900",5441171660734464
"1474022504402,1474022504655,1474022504918,1474022505131,1474022505941,1474022506251,1474022506550,1474022506975",74.75.23.113,"1474022504287,1474022504561,1474022504838,1474022505023,1474022505890,1474022506145,1474022506456,1474022506897",5457932233736192
"1474048940150,1474048940358,1474048940478,1474048940662,1474048941006,1474048941007,1474048941142,1474048941414",162.198.166.54,"1474048940031,1474048940182,1474048940399,1474048940567,1474048940774,1474048940886,1474048941022,1474048941270",5459556268244992
"1474057227890,1474057228058,1474057228258,1474057228514,1474057229098,1474057229466,1474057229561,1474057229849",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057227762,1474057227914,1474057228146,1474057228338,1474057228946,1474057229282,1474057229434,1474057229666",5479345330061312
"1474032451085,1474032451140,1474032451156,1474032451348,1474032451652,1474032451732,1474032451748,1474032451948",173.2.225.234,"1474032450857,1474032450972,1474032451092,1474032451220,1474032451452,1474032451585,1474032451628,1474032451844",5487540664532992
"1474082768864,1474082769040,1474082769208,1474082769336,1474082769520,1474082769656,1474082769792,1474082769968",99.9.191.4,"1474082768792,1474082768968,1474082769160,1474082769280,1474082769456,1474082769600,1474082769728,1474082769904",5493735081115648
"1474048906326,1474048906526,1474048906646,1474048906822,1474048907118,1474048907142,1474048907254,1474048907550",162.198.166.54,"1474048906222,1474048906374,1474048906574,1474048906726,1474048906926,1474048906990,1474048907143,1474048907390",5503669072035840
"1474057237234,1474057237386,1474057237546,1474057237738,1474057237978,1474057238114,1474057238242,1474057238586",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057237098,1474057237250,1474057237458,1474057237634,1474057237850,1474057237986,1474057238130,1474057238458",5508312736989184
"1474082747841,1474082748084,1474082748276,1474082748452,1474082748763,1474082748947,1474082749225,1474082750258",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082747706,1474082747913,1474082748162,1474082748302,1474082748609,1474082748793,1474082749068,1474082750129",5518576098213888
"1474048942254,1474048942462,1474048942574,1474048942758,1474048943062,1474048943102,1474048943230,1474048943478",162.198.166.54,"1474048942166,1474048942318,1474048942486,1474048942654,1474048942846,1474048942902,1474048943102,1474048943350",5541880053891072
"1474022550079,1474022550324,1474022550557,1474022550781,1474022551196,1474022551412,1474022551581,1474022551913",74.75.23.113,"1474022549991,1474022550215,1474022550466,1474022550662,1474022551071,1474022551334,1474022551476,1474022551822",5559568339828736
"1474080233697,1474080233881,1474080234050,1474080234217,1474080234415,1474080234749,1474080234868,1474080235054",173.63.184.135,"1474080233613,1474080233806,1474080233990,1474080234159,1474080234342,1474080234665,1474080234796,1474080234993",5573425514938368
"1474082786773,1474082786972,1474082787186,1474082787352,1474082787647,1474082787684,1474082787764,1474082787948",99.9.191.4,"1474082786708,1474082786908,1474082787116,1474082787260,1474082787644,1474082787647,1474082787700,1474082787892",5575261613457408
"1474080145199,1474080145349,1474080145502,1474080145652,1474080145836,1474080145968,1474080146070,1474080146238",173.63.184.135,"1474080145101,1474080145261,1474080145443,1474080145581,1474080145761,1474080145883,1474080146000,1474080146169",5581909149089792
"1474047641809,1474047642014,1474047642255,1474047642452,1474047642811,1474047642868,1474047643068,1474047643316",173.19.149.111,"1474047641706,1474047641856,1474047642116,1474047642335,1474047642630,1474047642752,1474047642924,1474047643159",5583423125061632
"1474067037721,1474067037926,1474067038180,1474067038348,1474067038595,1474067039011,1474067039218,1474067039458",65.24.240.144,"1474067037651,1474067037818,1474067038108,1474067038275,1474067038491,1474067038906,1474067039146,1474067039350",5628278152888320
"1474048920551,1474048920775,1474048920911,1474048921078,1474048921350,1474048921414,1474048921510,1474048921798",162.198.166.54,"1474048920471,1474048920614,1474048920775,1474048920959,1474048921174,1474048921271,1474048921414,1474048921646",5665121456095232
"1474082052724,1474082052795,1474082052866,1474082052997,1474082053178,1474082053362,1474082053433,1474082053565",108.15.192.232,"1474082052581,1474082052731,1474082052800,1474082052927,1474082053068,1474082053255,1474082053325,1474082053456",5714775304568832
"1474047685707,1474047685887,1474047685941,1474047686128,1474047686393,1474047686462,1474047686528,1474047686709",173.19.149.111,"1474047685559,1474047685671,1474047685794,1474047686004,1474047686228,1474047686344,1474047686427,1474047686597",5770237022568448
"1474032423917,1474032424172,1474032424484,1474032424716,1474032425820,1474032425852,1474032425908,1474032426251",173.2.225.234,"1474032423708,1474032423980,1474032424371,1474032424563,1474032425564,1474032425692,1474032425779,1474032426115",5775210057826304
"1474075597220,1474075597741,1474075597925,1474075598085,1474075598412,1474075598557,1474075598789,1474075599069",104.229.237.190,"1474075597093,1474075597541,1474075597805,1474075597989,1474075598189,1474075598381,1474075598629,1474075598885",5780183093084160
"1474082822254,1474082822374,1474082822526,1474082822670,1474082822846,1474082822958,1474082823038,1474082823198",99.9.191.4,"1474082822190,1474082822294,1474082822478,1474082822606,1474082822782,1474082822894,1474082822982,1474082823134",5783291575664640
"1474015669949,1474015670110,1474015670428,1474015670580,1474015670853,1474015671189,1474015671597,1474015671789",115.99.248.170,"1474015669806,1474015670045,1474015670365,1474015670517,1474015670724,1474015671069,1474015671493,1474015671709",5785144048746496
